index,city_development_index,relevant_experience,enrolled_university,education_level,experience,company_size,last_new_job,gender_Male,gender_Female,major_discipline_Non-STEM,major_discipline_STEM,company_type_Early Startup,company_type_Funded Startup,company_type_NGO,company_type_Public Sector,company_type_Pvt Ltd
0,3,1,2,2,1,0,1,1,0,0,1,0,0,0,0,1
1,4,1,0,2,1,0,1,0,1,0,1,0,0,0,0,1
2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
3,3,1,0,3,2,0,1,1,0,0,1,0,0,0,0,1
4,4,1,0,2,3,3,5,1,0,0,1,0,0,0,0,1
5,3,0,1,3,1,0,2,1,0,0,1,0,0,0,1,0
6,1,1,0,2,0,1,1,1,0,0,1,0,0,0,0,1
7,4,1,0,2,3,3,5,0,1,0,1,0,0,0,0,1
8,3,1,0,2,2,0,4,1,0,0,1,0,0,0,0,1
9,1,1,2,2,0,0,1,1,0,0,1,0,1,0,0,0
10,4,1,0,3,3,0,5,1,0,1,0,0,0,0,0,1
11,1,1,0,2,3,0,2,1,0,0,1,0,0,0,0,1
12,2,1,0,2,1,1,0,1,0,0,1,0,0,0,0,0
13,4,1,0,3,0,1,1,1,0,0,1,0,0,0,0,1
14,4,0,0,2,1,3,0,1,0,0,1,0,0,0,0,1
15,1,1,2,2,2,2,1,1,0,0,1,0,0,0,0,1
16,1,1,0,3,0,1,1,1,0,0,1,0,0,0,0,1
17,3,1,0,3,0,0,1,1,0,1,0,0,0,0,0,1
18,1,1,0,2,1,1,4,1,0,0,1,0,0,0,0,1
20,4,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1
21,4,1,0,2,1,3,1,1,0,0,1,0,0,0,0,1
22,1,1,0,2,1,2,3,1,0,0,1,0,0,0,0,1
23,4,0,2,2,0,0,1,1,0,0,1,0,0,0,0,1
24,2,1,0,2,3,1,5,1,0,0,1,0,0,0,0,1
25,4,1,1,2,2,3,5,0,1,0,1,0,0,0,1,0
26,4,1,0,3,3,0,5,1,0,0,1,0,0,0,0,1
27,4,0,2,2,1,0,1,1,0,0,1,0,0,0,1,0
28,1,1,0,3,3,0,1,1,0,0,1,0,0,0,0,1
29,1,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1
30,2,1,2,2,1,0,1,1,0,0,1,0,0,0,0,1
31,4,1,0,2,1,3,1,1,0,0,1,0,0,0,0,1
33,1,1,0,2,1,3,4,1,0,0,1,0,0,0,0,1
34,4,1,0,3,3,0,5,1,0,0,1,0,0,0,0,1
35,4,1,0,3,3,0,5,1,0,0,1,0,0,0,0,1
36,4,1,1,2,3,1,5,1,0,0,1,0,0,0,0,1
37,4,1,0,2,3,3,5,1,0,0,1,0,0,0,0,1
38,1,0,2,3,0,0,1,1,0,0,1,0,0,0,0,1
39,3,1,0,3,3,0,1,1,0,0,1,1,0,0,0,0
40,3,1,0,3,2,0,1,1,0,0,1,0,0,0,1,0
41,4,1,0,2,0,0,1,0,1,1,0,0,0,0,0,1
42,4,1,0,2,3,1,4,1,0,0,1,0,0,0,0,1
43,4,1,0,2,3,0,2,1,0,0,1,0,0,0,0,1
44,4,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1
45,1,1,0,3,1,1,1,1,0,0,1,0,0,0,0,1
46,4,1,0,2,3,0,1,1,0,0,1,0,0,0,0,1
47,4,1,0,3,1,2,1,1,0,0,1,0,0,0,0,1
48,4,0,2,3,0,0,1,1,0,0,1,0,0,0,0,1
49,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1
50,4,1,0,2,3,0,1,1,0,0,1,0,0,0,0,1
51,4,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1
52,4,1,0,2,3,3,5,1,0,0,1,0,0,0,0,1
54,2,1,0,2,2,1,1,1,0,1,0,0,0,0,0,1
56,1,1,0,3,1,2,2,1,0,0,1,0,0,0,0,1
57,1,1,0,2,1,1,5,1,0,0,1,0,0,0,0,1
58,4,1,0,2,1,2,2,1,0,0,1,0,0,0,0,1
59,4,1,2,2,1,0,1,0,0,0,1,0,0,0,0,1
60,4,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
61,4,1,0,2,3,3,5,1,0,0,1,0,0,0,0,1
62,4,1,0,3,3,0,2,1,0,0,1,0,0,0,0,1
63,3,1,0,2,1,0,2,1,0,0,1,0,0,0,0,1
64,1,1,0,2,3,1,5,0,1,0,1,0,0,0,0,1
65,3,1,0,2,2,0,5,1,0,0,1,0,0,0,0,1
66,1,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0
67,3,0,1,2,1,0,1,1,0,0,1,0,0,0,1,0
68,1,1,0,2,1,0,3,1,0,0,1,0,0,0,0,1
69,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,1
70,0,1,2,2,0,0,1,1,0,0,1,0,0,0,0,1
71,2,1,0,2,2,0,2,1,0,0,1,0,0,0,0,1
72,4,1,0,3,3,2,4,1,0,0,1,0,0,0,0,1
74,4,1,0,2,1,0,1,1,0,0,1,1,0,0,0,0
75,0,1,1,2,0,0,1,1,0,0,1,0,0,0,0,1
76,4,1,0,2,3,0,5,1,0,0,1,0,0,0,0,1
77,4,1,0,3,2,0,2,1,0,0,1,0,0,0,0,1
79,3,0,2,2,2,0,3,1,0,1,0,0,0,0,0,1
80,4,1,0,3,3,3,5,1,0,0,1,0,0,0,0,1
81,1,0,2,3,0,0,1,1,0,0,1,0,0,0,0,1
82,3,1,0,3,2,1,5,1,0,0,1,0,0,0,0,1
83,4,1,0,2,1,1,5,1,0,0,1,0,0,0,0,1
84,4,1,0,3,2,3,1,1,0,0,1,0,0,0,0,1
85,1,1,0,2,0,1,1,1,0,0,1,0,0,0,0,1
86,4,1,0,2,3,0,5,1,0,0,1,0,0,0,0,1
87,3,1,2,3,1,3,4,1,0,0,1,0,0,0,0,1
88,4,1,0,2,3,3,3,1,0,1,0,0,0,0,0,1
90,4,1,0,3,3,2,5,1,0,0,1,0,0,0,0,1
91,1,1,0,3,3,2,4,1,0,0,1,0,0,0,0,1
92,4,1,0,3,3,2,2,1,0,0,1,0,0,0,0,1
93,0,1,1,3,0,2,2,1,0,0,1,0,0,0,0,1
94,4,1,0,2,3,2,3,1,0,0,1,0,0,0,0,1
95,4,1,0,4,3,2,3,1,0,0,1,0,0,0,0,1
96,4,1,0,2,0,0,1,0,1,1,0,0,0,0,0,1
97,1,0,2,1,0,0,2,1,0,0,0,1,0,0,0,0
98,1,1,0,2,1,3,1,1,0,0,1,0,0,1,0,0
99,4,1,1,3,3,3,5,1,0,0,1,0,0,0,0,1
101,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1
102,4,1,0,2,3,0,1,1,0,1,0,0,0,0,0,1
103,4,1,1,2,3,3,2,1,0,0,1,0,0,0,0,1
104,3,1,0,2,0,0,0,1,0,0,1,0,0,0,0,1
105,3,1,0,3,2,1,2,1,0,0,1,0,0,0,0,1
106,4,1,0,2,3,0,0,1,0,0,1,0,0,0,0,1
107,4,1,0,2,3,0,1,1,0,0,1,0,0,0,0,1
108,3,0,1,2,0,0,5,1,0,0,1,0,0,0,0,1
109,4,1,0,2,3,0,1,1,0,0,1,0,0,0,0,1
110,3,1,0,3,2,0,0,1,0,0,1,0,0,0,0,1
111,4,1,0,2,2,0,1,1,0,0,1,0,0,0,0,1
112,4,1,0,2,3,2,1,1,0,0,1,0,0,0,0,1
113,4,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1
114,4,1,2,2,1,3,0,1,0,0,1,0,0,0,0,0
115,1,1,2,2,1,0,5,1,0,0,1,0,0,0,0,1
116,4,1,0,2,1,2,1,1,0,0,1,0,0,0,0,1
117,2,0,0,2,1,2,5,1,0,0,1,0,0,0,1,0
118,1,0,2,2,1,0,1,1,0,0,1,0,0,0,0,1
119,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
120,4,0,2,1,1,3,0,1,0,0,0,0,0,0,0,1
121,1,1,0,2,2,2,1,1,0,0,1,0,0,0,0,1
122,4,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1
123,3,0,0,3,0,2,1,1,0,0,1,0,0,0,0,1
124,3,1,0,3,3,2,2,1,0,0,1,0,0,0,0,1
126,1,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1
127,4,1,0,2,3,2,5,1,0,0,1,0,0,0,0,1
128,4,0,0,4,3,2,1,0,1,0,1,0,0,1,0,0
129,1,1,2,3,0,0,1,1,0,0,1,1,0,0,0,0
131,1,1,0,2,3,1,2,1,0,0,1,0,0,0,0,1
132,2,1,0,3,3,0,1,1,0,0,1,0,0,0,0,1
133,4,0,0,2,3,0,5,1,0,0,1,0,0,0,0,1
134,3,1,1,2,1,1,1,0,1,0,1,0,0,0,0,1
135,4,1,0,2,2,1,5,1,0,0,1,0,0,0,0,1
137,1,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1
138,4,0,0,4,3,0,5,1,0,1,0,0,0,0,0,1
139,4,0,2,2,0,0,1,1,0,0,1,0,1,0,0,0
140,1,1,2,2,1,0,1,1,0,0,1,0,1,0,0,0
141,3,1,1,2,2,0,1,1,0,0,1,0,1,0,0,0
142,1,1,0,2,1,0,1,1,0,0,1,0,1,0,0,0
143,4,1,0,2,3,3,5,1,0,0,1,0,0,0,0,1
144,4,1,0,3,3,1,5,1,0,0,1,0,0,0,0,1
145,3,1,1,3,0,3,1,1,0,0,1,0,0,0,0,1
146,4,1,0,3,1,1,4,1,0,1,0,0,0,0,0,1
147,4,1,0,2,2,1,4,1,0,0,1,0,0,0,0,1
148,1,1,1,3,3,0,5,1,0,0,1,0,1,0,0,0
149,2,1,0,3,1,0,4,1,0,0,1,0,0,0,0,1
150,3,1,0,3,3,0,5,1,0,0,1,0,1,0,0,0
151,1,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1
152,4,1,0,2,3,3,1,1,0,0,1,0,0,0,0,1
153,4,0,2,3,3,0,0,1,0,0,1,0,0,0,0,1
154,1,1,0,2,2,2,4,1,0,0,1,0,0,0,0,1
155,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
156,4,1,0,4,3,0,1,1,0,0,1,0,1,0,0,0
157,4,1,0,3,2,1,1,1,0,0,1,0,1,0,0,0
158,4,0,0,4,3,2,2,1,0,0,1,0,0,0,0,1
159,4,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0
160,4,0,0,2,2,0,3,1,0,0,1,0,0,0,0,1
161,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1
162,4,1,0,2,1,2,1,1,0,0,1,0,0,0,0,1
163,4,1,0,2,1,3,1,0,1,0,1,0,0,0,0,1
164,4,1,0,4,3,0,3,1,0,0,1,0,1,0,0,0
165,4,1,0,1,1,3,5,1,0,0,0,0,0,0,0,1
166,4,1,0,2,3,1,5,1,0,0,1,0,0,0,0,1
167,4,1,0,2,3,1,1,1,0,0,1,0,0,0,0,1
168,4,1,0,3,3,0,5,1,0,0,1,0,0,0,0,1
169,1,1,2,2,0,0,1,1,0,0,1,0,0,0,0,1
170,0,1,1,3,0,0,1,1,0,0,1,0,0,0,0,1
171,4,1,0,3,1,3,5,1,0,0,1,0,0,0,0,1
172,4,0,0,4,2,3,1,1,0,0,1,0,0,0,0,1
173,2,1,2,2,1,0,4,1,0,0,1,0,0,0,0,1
174,4,0,0,2,0,1,1,1,0,0,1,0,0,0,1,0
175,2,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1
176,1,1,0,3,1,0,5,1,0,0,1,0,0,0,0,1
177,4,1,0,1,3,1,1,1,0,0,0,0,0,0,0,1
178,0,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0
179,0,1,0,2,1,0,3,1,0,0,1,0,0,0,0,1
180,1,0,0,3,0,1,1,1,0,0,1,0,0,0,0,1
181,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1
182,4,1,2,2,1,1,1,1,0,0,1,0,0,0,0,1
183,4,1,0,3,3,0,2,1,0,0,1,0,0,0,0,1
184,1,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1
185,2,1,1,2,1,0,3,1,0,0,1,0,0,0,0,1
186,4,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
187,4,1,0,2,3,2,5,1,0,0,1,0,0,0,0,1
188,4,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0
189,4,0,0,1,2,1,5,1,0,0,0,0,0,0,0,1
190,1,1,0,2,0,1,1,0,1,0,1,0,0,0,0,1
191,4,1,0,2,2,1,2,1,0,0,1,0,0,0,0,1
192,1,1,0,2,1,0,2,1,0,0,1,0,0,0,0,1
193,4,1,0,2,1,0,3,1,0,0,1,0,1,0,0,0
194,0,1,0,2,1,0,3,1,0,0,1,0,0,0,0,1
195,4,1,0,2,1,0,2,1,0,0,1,0,0,0,0,1
196,4,0,2,1,0,0,1,1,0,0,0,1,0,0,0,0
197,1,1,0,2,0,1,0,1,0,0,1,0,0,0,0,1
198,3,1,0,3,2,0,1,1,0,0,1,0,0,0,0,1
199,4,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1
201,0,1,2,2,0,0,1,1,0,0,1,0,0,0,0,1
202,3,1,0,3,1,0,2,1,0,0,1,0,0,0,1,0
203,2,1,0,3,1,1,1,0,1,0,1,0,0,0,0,1
204,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,1
205,4,1,0,3,3,3,5,1,0,0,1,0,0,0,0,1
206,4,1,0,3,3,0,0,0,1,0,1,0,0,0,0,1
207,4,1,0,2,3,1,5,1,0,0,1,0,0,0,0,1
208,4,1,0,2,3,3,1,1,0,0,1,0,0,0,0,1
209,4,1,0,2,2,0,2,1,0,0,1,0,0,0,0,1
210,4,1,0,2,3,0,5,1,0,0,1,0,0,0,0,1
211,1,1,2,2,0,0,0,1,0,0,1,0,0,0,0,1
212,3,1,0,4,2,0,1,1,0,0,1,1,0,0,0,0
213,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
214,4,1,0,3,3,1,2,1,0,1,0,0,0,0,0,1
215,1,1,0,2,3,0,2,1,0,0,1,0,0,0,0,1
217,4,1,0,2,0,0,1,1,0,1,0,1,0,0,0,0
218,1,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1
219,1,1,0,2,1,3,5,1,0,0,1,0,0,0,0,1
220,4,1,0,2,2,2,2,1,0,0,1,0,0,0,0,1
221,1,1,0,2,0,1,0,1,0,0,1,0,0,0,0,1
222,4,1,0,2,3,0,2,1,0,0,1,0,0,0,0,1
223,1,1,0,2,1,3,1,0,1,0,1,0,0,0,0,1
224,4,0,1,2,0,2,1,0,1,1,0,0,0,0,0,0
225,1,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0
227,4,1,0,3,3,0,5,1,0,0,1,0,0,0,0,1
228,4,1,0,2,1,2,1,1,0,0,1,0,0,0,0,1
229,4,1,0,2,0,0,2,0,1,1,0,0,0,0,0,1
230,3,0,0,3,2,1,0,1,0,0,1,0,0,0,0,1
231,4,1,0,2,1,0,1,1,0,0,1,1,0,0,0,0
232,4,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1
233,1,1,0,2,1,1,4,1,0,0,1,0,0,0,0,1
234,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,1
235,1,1,0,2,1,0,2,1,0,0,1,0,0,0,0,1
236,4,0,0,2,3,0,2,1,0,0,1,0,0,0,0,1
237,1,1,2,2,0,2,2,1,0,0,1,0,0,0,0,1
238,4,1,2,3,1,0,1,1,0,0,1,0,0,0,0,1
239,3,1,2,1,0,1,2,1,0,0,0,0,0,0,0,1
240,3,1,0,2,1,0,1,1,0,0,1,0,1,0,0,0
241,1,1,2,2,1,3,0,1,0,0,1,0,0,0,0,1
243,1,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0
244,4,1,0,3,3,2,0,1,0,0,1,0,0,0,0,1
245,4,1,0,2,3,0,3,1,0,0,1,0,0,0,0,1
246,4,1,0,2,1,0,2,1,0,0,1,0,0,0,0,1
247,1,1,0,2,1,3,3,0,0,0,1,0,0,0,1,0
248,3,1,0,2,3,0,0,1,0,0,1,0,0,0,0,1
249,4,1,0,2,3,0,1,1,0,0,1,0,1,0,0,0
250,4,0,0,2,3,0,5,0,0,0,1,0,0,0,0,1
251,4,1,0,4,2,1,5,1,0,0,1,0,0,0,0,1
252,4,1,0,3,3,0,2,1,0,0,1,0,1,0,0,0
253,2,1,2,2,1,0,1,1,0,0,1,0,0,0,0,1
254,1,1,0,2,2,0,1,1,0,0,1,0,1,0,0,0
255,3,0,0,2,3,3,5,1,0,0,1,0,0,0,0,1
256,4,1,0,2,3,0,5,0,0,0,1,0,0,0,0,1
257,4,1,0,2,3,0,5,0,1,0,1,0,0,0,0,1
258,0,1,0,2,1,0,5,1,0,0,1,0,0,0,0,1
259,4,1,0,1,1,3,1,1,0,0,0,0,0,0,0,1
261,4,1,0,3,1,1,2,1,0,0,1,0,0,0,0,1
262,1,1,0,1,2,0,2,1,0,0,0,0,0,0,0,1
263,2,1,0,3,1,1,2,1,0,0,1,0,0,0,0,1
264,1,1,0,2,1,1,1,1,0,0,1,0,0,1,0,0
265,4,1,0,2,2,0,5,1,0,1,0,0,0,0,0,1
266,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1
267,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
268,1,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1
269,4,1,0,2,3,1,1,1,0,0,1,0,1,0,0,0
270,3,1,0,3,1,1,1,1,0,0,1,0,1,0,0,0
271,1,0,2,1,0,3,0,0,1,0,0,0,0,0,0,1
272,0,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1
273,4,1,0,3,3,0,3,1,0,0,1,0,0,0,0,1
274,3,1,0,2,2,1,1,1,0,0,1,0,0,0,1,0
275,3,1,0,2,1,0,4,1,0,0,1,0,0,0,0,1
276,4,1,0,2,2,1,1,1,0,0,1,0,0,0,0,1
277,4,1,0,3,2,1,1,1,0,0,1,0,0,0,0,1
278,1,0,0,3,1,1,5,1,0,0,1,0,0,0,0,1
279,3,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0
280,4,1,0,4,3,0,5,1,0,0,1,0,0,0,1,0
281,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
282,4,1,0,2,3,0,3,1,0,1,0,0,0,0,0,1
283,1,1,0,2,2,2,0,1,0,0,1,0,0,0,0,1
284,4,0,2,2,0,0,1,1,0,0,1,0,0,0,0,1
285,4,1,0,2,1,3,0,1,0,0,1,0,0,0,0,1
286,1,1,0,3,1,3,1,0,1,0,1,0,0,0,0,1
287,1,1,2,2,1,3,1,0,1,0,1,0,0,0,1,0
288,1,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1
290,4,1,2,1,0,0,1,1,0,0,0,0,0,0,0,1
292,3,1,0,2,0,1,2,0,1,0,1,0,0,0,0,1
293,3,1,1,2,1,0,2,1,0,0,1,0,0,0,0,1
294,3,0,0,3,3,1,2,1,0,0,1,0,0,0,0,1
295,2,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1
296,4,1,0,3,2,0,3,1,0,0,1,0,0,0,0,1
297,3,1,1,2,3,0,1,1,0,0,1,0,1,0,0,0
298,3,1,0,2,0,0,1,1,0,1,0,0,0,0,0,1
299,4,1,0,2,3,0,5,1,0,0,1,0,0,0,0,1
300,2,0,2,2,1,0,2,1,0,0,1,0,0,0,0,1
301,3,1,0,3,3,0,0,1,0,0,1,0,0,0,0,1
302,4,1,0,2,3,0,1,1,0,0,1,0,1,0,0,0
304,1,0,2,2,0,0,1,1,0,0,1,0,0,0,0,1
305,1,1,0,2,2,0,2,1,0,0,1,0,0,0,0,1
306,2,1,0,2,3,0,1,1,0,0,1,0,1,0,0,0
307,4,1,0,3,0,0,1,1,0,0,1,0,1,0,0,0
308,0,1,0,2,1,0,1,1,0,0,1,0,1,0,0,0
309,4,1,0,2,3,2,5,1,0,0,1,0,0,0,1,0
310,2,1,0,3,1,1,1,1,0,0,1,0,1,0,0,0
311,4,0,2,2,1,3,1,1,0,0,1,0,0,0,0,1
312,4,0,2,1,1,1,1,1,0,0,0,0,0,1,0,0
313,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0
314,4,1,0,2,3,1,1,1,0,1,0,0,0,0,0,1
315,1,1,0,2,0,1,1,1,0,0,1,0,0,1,0,0
316,0,0,0,2,0,0,1,1,0,1,0,0,0,1,0,0
317,4,1,0,3,3,3,5,1,0,0,1,0,0,0,0,1
318,4,0,2,2,0,3,1,1,0,0,1,0,0,0,0,1
319,4,1,0,2,1,2,2,1,0,0,1,0,0,0,0,1
320,4,1,0,2,3,0,1,0,1,0,1,0,0,0,0,1
321,4,1,0,2,3,0,5,1,0,0,1,0,0,0,0,1
322,1,1,0,2,1,0,2,1,0,0,1,0,0,0,0,1
323,4,1,2,3,1,2,1,1,0,0,1,0,0,0,1,0
325,1,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1
326,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
327,4,0,0,2,3,0,5,1,0,0,1,0,0,0,0,1
328,1,1,0,3,2,2,1,1,0,0,1,0,0,0,0,1
329,4,0,0,3,2,2,1,1,0,0,1,0,0,0,0,1
330,4,1,0,2,3,1,1,1,0,0,1,0,0,0,0,1
331,4,0,2,2,0,3,1,1,0,0,1,0,0,0,0,1
332,4,1,0,2,2,2,1,1,0,0,1,0,0,0,0,1
333,1,0,2,2,0,0,1,1,0,0,1,0,1,0,0,0
334,1,0,0,2,0,1,1,0,1,0,1,0,0,1,0,0
335,1,1,2,2,0,1,1,1,0,0,1,0,0,0,0,1
336,4,1,0,2,3,1,1,1,0,0,1,0,0,0,0,1
337,4,1,0,4,3,0,4,1,0,0,1,0,0,0,0,1
338,4,0,0,4,0,0,1,1,0,0,1,0,0,0,1,0
339,4,1,0,2,1,1,2,1,0,1,0,0,0,0,0,1
340,3,0,0,2,2,1,2,1,0,0,1,0,0,0,0,1
341,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1
342,4,1,2,2,3,0,3,1,0,1,0,0,0,0,0,1
343,1,0,2,2,0,3,1,1,0,0,1,0,0,0,0,1
344,4,1,0,2,3,0,1,1,0,0,1,0,0,0,0,1
345,4,1,0,3,1,2,1,1,0,0,1,0,0,0,0,1
346,3,1,0,3,1,0,1,1,0,0,1,0,0,0,0,1
347,4,1,1,1,1,2,1,1,0,0,0,0,0,0,0,1
348,4,1,0,2,3,0,5,1,0,0,1,0,1,0,0,0
349,2,0,2,2,2,0,1,1,0,1,0,0,0,0,0,1
350,4,1,0,2,3,2,5,1,0,0,1,0,0,0,0,1
351,4,1,0,4,1,1,2,1,0,0,1,0,0,1,0,0
352,1,0,0,3,0,1,2,1,0,0,1,0,0,0,0,1
353,3,0,2,2,0,0,1,0,0,0,1,0,0,0,0,1
354,4,1,0,2,2,0,5,1,0,0,1,0,0,0,0,1
355,4,0,1,2,0,3,1,0,0,0,1,0,0,0,0,1
356,4,1,0,3,3,3,5,0,1,0,1,0,0,0,0,1
357,4,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1
358,2,1,0,3,2,0,2,1,0,0,1,0,0,0,0,1
359,3,1,0,3,1,2,1,1,0,0,1,0,0,0,0,1
